,occupation-race-sex,number-of-people-over-50k,number-of-people-under-50k,percentage
104,"(' Protective-serv', 1, ' White')",5,38,11.627906976744185
105,"(' Sales', 0, ' Amer-Indian-Eskimo')",3,8,27.27272727272727
106,"(' Sales', 0, ' Asian-Pac-Islander')",19,56,25.333333333333336
107,"(' Sales', 0, ' Black')",27,85,24.107142857142858
108,"(' Sales', 0, ' Other')",1,13,7.142857142857142
109,"(' Sales', 0, ' White')",845,1330,38.85057471264368
110,"(' Sales', 1, ' Amer-Indian-Eskimo')",1,14,6.666666666666667
111,"(' Sales', 1, ' Asian-Pac-Islander')",2,31,6.0606060606060606
112,"(' Sales', 1, ' Black')",4,138,2.8169014084507045
113,"(' Sales', 1, ' Other')",2,9,18.181818181818183
114,"(' Sales', 1, ' White')",79,983,7.43879472693032
115,"(' Tech-support', 0, ' Amer-Indian-Eskimo')",0,2,0.0
116,"(' Tech-support', 0, ' Asian-Pac-Islander')",12,17,41.37931034482759
117,"(' Tech-support', 0, ' Black')",11,21,34.375
118,"(' Tech-support', 0, ' Other')",0,1,0.0
119,"(' Tech-support', 0, ' White')",215,301,41.66666666666667
120,"(' Tech-support', 1, ' Amer-Indian-Eskimo')",0,2,0.0
121,"(' Tech-support', 1, ' Asian-Pac-Islander')",0,15,0.0
122,"(' Tech-support', 1, ' Black')",2,37,5.128205128205128
123,"(' Tech-support', 1, ' Other')",0,2,0.0
124,"(' Tech-support', 1, ' White')",43,247,14.827586206896552
125,"(' Transport-moving', 0, ' Amer-Indian-Eskimo')",3,21,12.5
126,"(' Transport-moving', 0, ' Asian-Pac-Islander')",4,22,15.384615384615385
127,"(' Transport-moving', 0, ' Black')",18,131,12.080536912751679
128,"(' Transport-moving', 0, ' Other')",1,13,7.142857142857142
129,"(' Transport-moving', 0, ' White')",285,1009,22.02472952086553
130,"(' Transport-moving', 1, ' Amer-Indian-Eskimo')",0,1,0.0
131,"(' Transport-moving', 1, ' Asian-Pac-Islander')",0,2,0.0
132,"(' Transport-moving', 1, ' Black')",0,21,0.0
133,"(' Transport-moving', 1, ' White')",9,57,13.636363636363635
